Order ID,Order Date,Customer Age,Gender,Country,Product Category,Quantity,Unit Price,Total Price,Payment Method,Customer Satisfaction,Returned
96,2023-04-06,42,Female,Germany,Beauty,8,117.57,940.56,Credit Card,4,1
97,2023-04-07,62,Male,France,Beauty,7,69.43,486.01000000000005,Credit Card,2,0
98,2023-04-08,58,Female,Germany,Beauty,7,134.32,940.24,Debit Card,4,0
99,2023-04-09,46,Male,France,Sports,3,54.08,162.24,Bank Transfer,1,0
100,2023-04-10,32,Male,UK,Home,1,12.73,12.73,Credit Card,4,0
101,2023-04-11,62,Female,USA,Beauty,4,155.23,620.92,Credit Card,2,0
102,2023-04-12,18,Female,Australia,Beauty,9,128.51,1156.59,Bank Transfer,4,0
103,2023-04-13,42,Male,UK,Home,5,154.84,774.2,Debit Card,5,0
104,2023-04-14,24,Male,UK,Electronics,1,17.4,17.4,Credit Card,3,0
105,2023-04-15,26,Female,Canada,Beauty,5,169.05,845.25,Bank Transfer,1,0
106,2023-04-16,41,Male,Canada,Sports,8,127.71,1021.68,Credit Card,5,0
107,2023-04-17,18,Female,Canada,Toys,8,117.05,936.4,PayPal,5,1
108,2023-04-18,61,Female,Australia,Toys,5,128.68,643.4000000000001,Cash,2,0
109,2023-04-19,25,Female,Canada,Apparel,9,174.24,1568.16,PayPal,3,0
110,2023-04-20,41,Female,France,Apparel,1,121.52,121.52,Credit Card,3,1
111,2023-04-21,28,Male,Germany,Toys,4,120.38,481.52,Debit Card,1,0
112,2023-04-22,68,Female,USA,Toys,3,198.23,594.6899999999999,Cash,2,0
113,2023-04-23,34,Male,UK,Sports,2,153.78,307.56,PayPal,1,1
114,2023-04-24,25,Female,France,Home,8,94.04,752.32,Bank Transfer,4,0
115,2023-04-25,52,Male,USA,Apparel,7,144.41,1010.87,Debit Card,5,0
116,2023-04-26,52,Female,France,Home,9,83.95,755.5500000000001,PayPal,1,0
117,2023-04-27,50,Male,France,Sports,2,53.49,106.98,Bank Transfer,5,1
118,2023-04-28,22,Male,UK,Toys,4,123.4,493.6,Credit Card,2,1
119,2023-04-29,59,Female,Germany,Beauty,6,186.35,1118.1,Bank Transfer,4,0
120,2023-04-30,56,Female,Canada,Home,3,186.54,559.62,PayPal,2,0
121,2023-05-01,58,Female,Australia,Toys,8,74.96,599.68,PayPal,4,0
122,2023-05-02,45,Female,Germany,Toys,3,110.26,330.78000000000003,Credit Card,4,0
123,2023-05-03,24,Male,Australia,Electronics,2,50.21,100.42,Bank Transfer,5,0
124,2023-05-04,26,Female,UK,Home,3,199.17,597.51,Bank Transfer,2,0
125,2023-05-05,25,Male,UK,Beauty,6,196.41,1178.46,Credit Card,2,1
126,2023-05-06,29,Male,UK,Home,2,133.41,266.82,Bank Transfer,1,1
127,2023-05-07,51,Female,USA,Toys,8,162.84,1302.72,Credit Card,2,0
128,2023-05-08,50,Male,Australia,Beauty,1,145.87,145.87,Debit Card,1,0
129,2023-05-09,65,Male,Germany,Sports,7,122.7,858.9,PayPal,3,0
130,2023-05-10,40,Male,Germany,Electronics,2,20.14,40.28,Debit Card,3,0
131,2023-05-11,41,Male,France,Toys,6,96.41,578.46,Cash,3,0
132,2023-05-12,54,Female,France,Apparel,2,138.21,276.42,Cash,2,1
133,2023-05-13,52,Female,France,Apparel,2,138.73,277.46,Cash,2,0
134,2023-05-14,61,Female,UK,Electronics,8,80.89,647.12,Credit Card,1,0
135,2023-05-15,57,Female,Germany,Sports,2,188.92,377.84,Bank Transfer,4,0
136,2023-05-16,39,Male,Australia,Toys,7,41.8,292.59999999999997,Debit Card,1,0
137,2023-05-17,44,Male,UK,Home,3,105.07,315.21,Debit Card,3,0
138,2023-05-18,52,Female,USA,Electronics,8,141.27,1130.16,Debit Card,1,0
139,2023-05-19,18,Female,France,Sports,7,142.46,997.22,Debit Card,4,0
140,2023-05-20,52,Female,UK,Home,8,133.24,1065.92,Cash,2,1
141,2023-05-21,54,Male,UK,Apparel,7,62.3,436.09999999999997,Debit Card,1,0
142,2023-05-22,64,Female,USA,Apparel,6,39.68,238.07999999999998,Bank Transfer,3,0
143,2023-05-23,31,Female,Canada,Home,7,130.83,915.8100000000001,Cash,3,0
144,2023-05-24,20,Female,Germany,Electronics,5,123.87,619.35,Debit Card,2,0
145,2023-05-25,18,Male,Australia,Apparel,7,44.08,308.56,Credit Card,1,0
146,2023-05-26,22,Male,Canada,Toys,1,143.98,143.98,PayPal,4,0
147,2023-05-27,43,Male,France,Beauty,1,96.48,96.48,PayPal,2,0
148,2023-05-28,31,Male,UK,Home,9,136.87,1231.83,PayPal,1,0
149,2023-05-29,56,Male,USA,Home,5,169.1,845.5,Cash,5,0
150,2023-05-30,44,Male,USA,Apparel,5,42.25,211.25,Debit Card,3,0
151,2023-05-31,26,Male,Germany,Electronics,3,13.64,40.92,Cash,4,1
152,2023-06-01,32,Male,Canada,Toys,5,158.03,790.15,Bank Transfer,4,0
153,2023-06-02,32,Female,Germany,Electronics,3,125.84,377.52,Credit Card,4,0
154,2023-06-03,43,Female,UK,Sports,9,142.93,1286.3700000000001,Credit Card,3,0
155,2023-06-04,59,Male,Germany,Sports,9,169.25,1523.25,PayPal,1,0
156,2023-06-05,30,Male,Australia,Beauty,6,162.53,975.1800000000001,PayPal,2,1
157,2023-06-06,68,Female,USA,Apparel,1,192.57,192.57,PayPal,1,0
158,2023-06-07,49,Male,USA,Apparel,7,111.83,782.81,Debit Card,2,1
159,2023-06-08,56,Male,France,Apparel,7,102.81,719.6700000000001,Bank Transfer,4,1
160,2023-06-09,66,Male,France,Beauty,4,86.36,345.44,Bank Transfer,1,0
161,2023-06-10,69,Female,UK,Sports,8,39.2,313.6,Bank Transfer,4,0
162,2023-06-11,49,Female,Australia,Electronics,6,118.8,712.8,Bank Transfer,5,0
163,2023-06-12,21,Female,Canada,Beauty,4,62.63,250.52,PayPal,4,1
164,2023-06-13,47,Female,Germany,Beauty,4,185.05,740.2,Credit Card,4,0
165,2023-06-14,54,Female,UK,Electronics,2,120.81,241.62,PayPal,2,0
166,2023-06-15,40,Male,France,Apparel,2,122.64,245.28,Bank Transfer,5,0
167,2023-06-16,56,Female,Germany,Toys,4,77.44,309.76,PayPal,4,0
168,2023-06-17,62,Male,France,Electronics,5,19.88,99.39999999999999,Bank Transfer,4,0
169,2023-06-18,32,Male,Germany,Sports,8,16.03,128.24,Cash,5,0
170,2023-06-19,60,Female,Canada,Home,6,90.43,542.58,Credit Card,5,0
171,2023-06-20,46,Female,UK,Home,4,26.07,104.28,Cash,1,1
172,2023-06-21,53,Male,Germany,Beauty,7,125.3,877.1,Debit Card,2,0
173,2023-06-22,30,Male,Australia,Home,8,177.38,1419.04,PayPal,5,0
174,2023-06-23,49,Male,USA,Toys,2,177.75,355.5,Debit Card,5,0
175,2023-06-24,24,Female,Australia,Apparel,7,135.22,946.54,PayPal,3,0
176,2023-06-25,68,Female,Australia,Sports,2,50.13,100.26,Cash,5,0
177,2023-06-26,39,Female,USA,Toys,2,173.97,347.94,Bank Transfer,2,0
178,2023-06-27,45,Female,Australia,Sports,8,178.36,1426.88,Bank Transfer,4,0
179,2023-06-28,19,Female,Germany,Sports,2,47.36,94.72,PayPal,4,0
180,2023-06-29,59,Male,Germany,Apparel,9,150.11,1350.9900000000002,Bank Transfer,4,0
181,2023-06-30,62,Female,Germany,Beauty,1,64.44,64.44,Cash,4,0
182,2023-07-01,23,Male,USA,Home,9,162.5,1462.5,Bank Transfer,3,0
183,2023-07-02,45,Male,Australia,Apparel,1,199.48,199.48,Cash,5,0
184,2023-07-03,45,Male,USA,Toys,2,15.7,31.4,Debit Card,4,0
185,2023-07-04,61,Female,Germany,Beauty,6,180.5,1083.0,Cash,1,0
186,2023-07-05,61,Female,Australia,Toys,6,128.3,769.8000000000001,Credit Card,4,0
187,2023-07-06,37,Female,Australia,Beauty,1,194.94,194.94,Credit Card,5,0
188,2023-07-07,47,Male,France,Toys,7,98.35,688.4499999999999,Credit Card,4,1
189,2023-07-08,28,Male,France,Apparel,8,171.0,1368.0,PayPal,3,1
190,2023-07-09,45,Male,Canada,Beauty,2,21.85,43.7,PayPal,2,0
191,2023-07-10,42,Male,UK,Beauty,8,73.7,589.6,PayPal,2,0
192,2023-07-11,56,Male,France,Sports,9,22.73,204.57,Cash,5,1
193,2023-07-12,50,Male,USA,Sports,6,195.32,1171.92,PayPal,2,0
194,2023-07-13,18,Female,France,Electronics,5,165.23,826.15,Debit Card,2,0
195,2023-07-14,44,Female,Canada,Toys,9,171.98,1547.82,Credit Card,1,1
196,2023-07-15,69,Female,Australia,Sports,9,188.21,1693.89,Cash,5,0
197,2023-07-16,30,Female,Canada,Electronics,1,26.17,26.17,Credit Card,5,0
198,2023-07-17,58,Male,Australia,Sports,3,83.26,249.78000000000003,PayPal,2,0
199,2023-07-18,20,Male,Australia,Toys,9,23.5,211.5,Cash,2,0
200,2023-07-19,56,Female,UK,Beauty,2,50.05,100.1,Bank Transfer,2,0
201,2023-07-20,23,Male,France,Home,4,53.58,214.32,Debit Card,3,0
202,2023-07-21,25,Female,USA,Toys,4,99.13,396.52,PayPal,4,0
203,2023-07-22,44,Female,USA,Apparel,2,61.03,122.06,PayPal,3,0
204,2023-07-23,26,Female,Germany,Sports,3,29.19,87.57000000000001,Debit Card,5,0
205,2023-07-24,54,Male,Australia,Sports,3,41.82,125.46000000000001,Debit Card,1,0
206,2023-07-25,50,Female,USA,Beauty,1,37.98,37.98,Bank Transfer,4,0
207,2023-07-26,68,Female,UK,Apparel,6,194.88,1169.28,PayPal,1,0
208,2023-07-27,59,Female,Australia,Beauty,8,154.27,1234.16,PayPal,5,0
209,2023-07-28,61,Male,UK,Apparel,3,193.87,581.61,Credit Card,5,1
210,2023-07-29,41,Male,USA,Home,5,93.55,467.75,Cash,1,0
211,2023-07-30,32,Female,USA,Sports,1,62.89,62.89,Cash,1,0
212,2023-07-31,49,Male,Germany,Sports,7,161.68,1131.76,Credit Card,1,0
213,2023-08-01,49,Male,USA,Home,1,71.99,71.99,Cash,5,0
214,2023-08-02,41,Male,Australia,Electronics,9,66.88,601.92,Debit Card,2,0
215,2023-08-03,58,Male,Australia,Beauty,8,54.18,433.44,Cash,1,0
216,2023-08-04,69,Male,Australia,Home,7,34.64,242.48000000000002,Cash,4,0
217,2023-08-05,66,Male,Germany,Beauty,7,58.73,411.10999999999996,Credit Card,5,0
218,2023-08-06,66,Male,Germany,Toys,5,77.51,387.55,Bank Transfer,3,1
219,2023-08-07,69,Male,USA,Sports,5,138.06,690.3,Cash,3,1
220,2023-08-08,29,Male,Canada,Beauty,5,21.89,109.45,Cash,4,0
221,2023-08-09,56,Male,Canada,Apparel,1,50.0,50.0,Bank Transfer,2,0
222,2023-08-10,19,Female,Germany,Beauty,8,163.71,1309.68,Credit Card,1,0
223,2023-08-11,20,Female,USA,Toys,1,37.92,37.92,Bank Transfer,5,0
224,2023-08-12,66,Male,Canada,Sports,4,75.1,300.4,Credit Card,1,0
225,2023-08-13,54,Female,USA,Home,9,174.29,1568.61,Debit Card,5,0
226,2023-08-14,66,Female,USA,Toys,9,39.44,354.96,Credit Card,3,1
227,2023-08-15,34,Male,USA,Sports,5,25.72,128.6,Debit Card,1,0
228,2023-08-16,66,Male,France,Beauty,4,102.06,408.24,Debit Card,4,0
229,2023-08-17,19,Male,Australia,Electronics,3,67.46,202.38,Credit Card,2,0
230,2023-08-18,19,Female,USA,Electronics,3,117.05,351.15,PayPal,4,0
231,2023-08-19,45,Female,France,Apparel,5,162.72,813.6,Credit Card,2,0
232,2023-08-20,40,Male,Germany,Sports,1,36.06,36.06,Cash,1,0
233,2023-08-21,54,Male,Canada,Electronics,5,120.33,601.65,Cash,1,1
234,2023-08-22,49,Male,Australia,Home,6,106.05,636.3,PayPal,2,0
235,2023-08-23,50,Female,Canada,Sports,7,37.37,261.59,Debit Card,3,0
236,2023-08-24,18,Female,Australia,Home,9,128.56,1157.04,PayPal,5,1
237,2023-08-25,36,Female,Canada,Home,3,61.99,185.97,Cash,4,0
238,2023-08-26,19,Female,Australia,Electronics,2,102.69,205.38,PayPal,4,0
239,2023-08-27,61,Male,Canada,Sports,3,25.63,76.89,Credit Card,4,0
240,2023-08-28,43,Male,Canada,Beauty,9,97.32,875.8799999999999,PayPal,1,0
241,2023-08-29,49,Male,Canada,Toys,7,68.23,477.61,Debit Card,4,0
242,2023-08-30,23,Male,Canada,Electronics,9,166.25,1496.25,Credit Card,5,0
243,2023-08-31,49,Female,Germany,Electronics,2,20.83,41.66,Bank Transfer,5,1
244,2023-09-01,21,Female,USA,Beauty,5,89.54,447.70000000000005,Cash,2,0
245,2023-09-02,28,Male,UK,Sports,4,97.1,388.4,Cash,1,0
246,2023-09-03,34,Male,France,Sports,2,147.75,295.5,PayPal,5,0
247,2023-09-04,55,Female,UK,Home,9,119.11,1071.99,Credit Card,3,0
248,2023-09-05,41,Male,UK,Beauty,9,136.77,1230.93,Bank Transfer,1,0
249,2023-09-06,22,Female,Australia,Beauty,6,157.64,945.8399999999999,Credit Card,1,0
250,2023-09-07,69,Male,USA,Sports,6,173.82,1042.92,Cash,5,0
251,2023-09-08,51,Male,Australia,Home,8,69.64,557.12,Credit Card,3,0
252,2023-09-09,23,Male,USA,Electronics,6,112.22,673.3199999999999,Bank Transfer,2,1
253,2023-09-10,39,Male,USA,Apparel,1,169.62,169.62,PayPal,5,0
254,2023-09-11,28,Male,Canada,Toys,4,198.0,792.0,Debit Card,3,0
255,2023-09-12,65,Male,Germany,Electronics,7,179.01,1253.07,Credit Card,1,1
256,2023-09-13,33,Male,Canada,Sports,2,80.58,161.16,Debit Card,3,0
257,2023-09-14,50,Female,Germany,Toys,9,47.08,423.71999999999997,Cash,1,0
258,2023-09-15,26,Female,Australia,Apparel,8,102.98,823.84,PayPal,5,1
259,2023-09-16,23,Female,Germany,Apparel,8,150.91,1207.28,PayPal,5,0
260,2023-09-17,33,Female,Australia,Home,7,103.59,725.13,Credit Card,4,0
261,2023-09-18,46,Female,UK,Toys,4,101.8,407.2,PayPal,4,0
262,2023-09-19,20,Male,UK,Home,2,169.26,338.52,Credit Card,4,0
263,2023-09-20,37,Male,Germany,Electronics,3,78.67,236.01,Credit Card,5,0
264,2023-09-21,53,Female,Germany,Beauty,6,173.36,1040.16,Debit Card,2,0
265,2023-09-22,36,Male,Australia,Beauty,5,87.29,436.45000000000005,PayPal,5,0
266,2023-09-23,43,Female,Canada,Beauty,8,72.36,578.88,Credit Card,3,0
267,2023-09-24,20,Female,Australia,Toys,6,96.26,577.5600000000001,Debit Card,5,0
268,2023-09-25,36,Male,Canada,Beauty,6,154.86,929.1600000000001,Bank Transfer,5,0
269,2023-09-26,37,Male,UK,Electronics,1,33.94,33.94,Debit Card,1,1
270,2023-09-27,49,Male,USA,Home,4,47.32,189.28,Debit Card,1,0
271,2023-09-28,24,Female,Germany,Toys,5,190.77,953.85,Credit Card,1,1
272,2023-09-29,69,Male,Canada,Home,3,43.34,130.02,Cash,5,0
273,2023-09-30,58,Female,Australia,Toys,9,117.87,1060.83,Cash,2,0
274,2023-10-01,50,Female,UK,Home,1,120.07,120.07,Cash,3,0
275,2023-10-02,57,Female,Canada,Apparel,6,103.03,618.1800000000001,Debit Card,3,0
276,2023-10-03,56,Male,Australia,Home,6,132.5,795.0,Credit Card,2,0
277,2023-10-04,35,Male,Germany,Beauty,5,53.67,268.35,PayPal,2,0
278,2023-10-05,57,Female,Germany,Apparel,5,115.01,575.0500000000001,Debit Card,3,0
279,2023-10-06,18,Male,France,Home,5,80.71,403.54999999999995,Debit Card,4,0
280,2023-10-07,28,Male,USA,Toys,6,135.72,814.3199999999999,Credit Card,1,0
281,2023-10-08,45,Male,France,Toys,8,36.83,294.64,Bank Transfer,1,0
282,2023-10-09,42,Female,UK,Toys,2,118.47,236.94,Debit Card,3,0
283,2023-10-10,67,Female,Canada,Sports,6,45.2,271.20000000000005,Bank Transfer,2,0
284,2023-10-11,40,Male,UK,Electronics,1,62.94,62.94,Bank Transfer,4,0
285,2023-10-12,48,Female,Australia,Toys,4,51.55,206.2,Cash,3,0
286,2023-10-13,47,Male,Germany,Apparel,3,44.74,134.22,Credit Card,1,0
287,2023-10-14,59,Male,France,Toys,9,166.89,1502.0099999999998,Bank Transfer,5,1
288,2023-10-15,52,Male,France,Sports,3,64.28,192.84,Credit Card,2,0
289,2023-10-16,24,Male,France,Beauty,6,186.15,1116.9,Cash,5,0
290,2023-10-17,33,Female,UK,Apparel,1,194.29,194.29,Credit Card,3,0
291,2023-10-18,43,Female,Germany,Sports,6,118.54,711.24,Debit Card,1,1
292,2023-10-19,65,Female,Canada,Beauty,4,37.17,148.68,Bank Transfer,4,0
293,2023-10-20,69,Male,Australia,Apparel,8,81.16,649.28,Credit Card,5,1
294,2023-10-21,66,Male,Canada,Home,9,161.57,1454.1299999999999,PayPal,4,0
295,2023-10-22,19,Male,UK,Electronics,4,79.8,319.2,Credit Card,1,0
296,2023-10-23,18,Female,Australia,Electronics,6,26.53,159.18,Bank Transfer,5,1
297,2023-10-24,65,Male,France,Sports,1,115.79,115.79,Cash,4,0
298,2023-10-25,29,Female,USA,Beauty,4,170.57,682.28,Cash,4,0
299,2023-10-26,22,Female,UK,Electronics,7,161.23,1128.61,Bank Transfer,5,0
300,2023-10-27,54,Female,UK,Beauty,1,43.27,43.27,Debit Card,1,1
301,2023-10-28,49,Female,Germany,Beauty,8,137.83,1102.64,Debit Card,4,0
302,2023-10-29,26,Female,Canada,Sports,6,51.9,311.4,Cash,3,0
303,2023-10-30,58,Female,UK,Sports,5,51.46,257.3,Cash,5,0
304,2023-10-31,52,Male,UK,Sports,9,176.07,1584.6299999999999,Bank Transfer,2,0
305,2023-11-01,36,Male,France,Electronics,2,57.44,114.88,Debit Card,2,1
306,2023-11-02,65,Female,France,Sports,5,60.02,300.1,Cash,1,0
307,2023-11-03,33,Female,Australia,Electronics,6,10.12,60.72,Debit Card,3,0
308,2023-11-04,20,Male,USA,Sports,7,175.43,1228.01,Cash,4,1
309,2023-11-05,37,Female,Germany,Toys,5,160.59,802.95,Credit Card,2,0
310,2023-11-06,41,Female,USA,Beauty,9,129.19,1162.71,PayPal,1,0
311,2023-11-07,50,Male,Australia,Sports,1,152.55,152.55,Credit Card,3,0
312,2023-11-08,41,Female,France,Apparel,7,38.89,272.23,Cash,3,0
313,2023-11-09,69,Female,Canada,Beauty,7,97.08,679.56,PayPal,1,0
314,2023-11-10,28,Female,France,Beauty,4,76.73,306.92,PayPal,1,0
315,2023-11-11,66,Male,Germany,Sports,9,27.82,250.38,Cash,4,0
316,2023-11-12,25,Male,France,Home,5,102.36,511.8,Cash,1,0
317,2023-11-13,53,Male,Germany,Sports,4,184.94,739.76,Debit Card,4,1
318,2023-11-14,55,Female,Germany,Beauty,7,17.61,123.27,Cash,4,0
319,2023-11-15,57,Female,Germany,Apparel,4,65.38,261.52,Bank Transfer,5,0
320,2023-11-16,37,Male,Australia,Beauty,3,49.43,148.29,Cash,3,0
321,2023-11-17,52,Female,Germany,Apparel,9,55.25,497.25,Bank Transfer,3,1
322,2023-11-18,65,Female,Germany,Electronics,8,182.6,1460.8,Cash,3,0
323,2023-11-19,42,Female,Canada,Toys,1,98.93,98.93,Debit Card,5,0
324,2023-11-20,52,Female,USA,Beauty,7,98.6,690.1999999999999,Bank Transfer,4,0
325,2023-11-21,42,Female,UK,Sports,9,154.51,1390.59,Credit Card,4,0
326,2023-11-22,46,Male,USA,Electronics,8,39.35,314.8,Bank Transfer,1,0
327,2023-11-23,35,Female,Germany,Toys,8,102.58,820.64,Debit Card,5,0
